B,P,C,X,N,Time
5,1,1,0,1,10.588361
5,1,5,0,1,10.656829
5,5,1,0,1,3.858833
5,5,5,0,1,3.526616
10,1,1,0,1,10.958587
10,1,5,0,1,10.485068
10,1,10,0,1,10.405938
10,5,1,0,1,4.537212
10,5,5,0,1,4.447503
10,5,10,0,1,3.832651
10,10,1,0,1,3.546177
10,10,5,0,1,3.516964
10,10,10,0,1,3.520532
5,1,1,200,1,11.677125
5,1,5,200,1,10.999687
5,5,1,200,1,10.438663
5,5,5,200,1,4.336726
10,1,1,200,1,10.655988
10,1,5,200,1,10.684893
10,1,10,200,1,10.651389
10,5,1,200,1,10.264224
10,5,5,200,1,3.732341
10,5,10,200,1,3.727364
10,10,1,200,1,10.267372
10,10,5,200,1,3.724061
10,10,10,200,1,3.720423
5,1,1,400,1,20.298445
5,1,5,400,1,10.851131
5,5,1,400,1,20.263514
5,5,5,400,1,6.347225
10,1,1,400,1,20.260216
10,1,5,400,1,11.179488
10,1,10,400,1,10.919594
10,5,1,400,1,20.267918
10,5,5,400,1,4.507464
10,5,10,400,1,3.929905
10,10,1,400,1,20.260083
10,10,5,400,1,4.462424
10,10,10,400,1,3.975279
