B,P,C,X,N,Time
5,1,1,0,1,0.321975
5,1,5,0,1,0.461322
5,5,1,0,1,0.491037
5,5,5,0,1,0.007681
10,1,1,0,1,0.726850
10,1,5,0,1,0.071421
10,1,10,0,1,0.033127
10,5,1,0,1,0.774359
10,5,5,0,1,0.792905
10,5,10,0,1,0.426339
10,10,1,0,1,0.055797
10,10,5,0,1,0.004349
10,10,10,0,1,0.006469
5,1,1,200,1,1.133353
5,1,5,200,1,0.593394
5,5,1,200,1,0.391839
5,5,5,200,1,0.013143
10,1,1,200,1,0.001976
10,1,5,200,1,0.066344
10,1,10,200,1,0.004379
10,5,1,200,1,0.004520
10,5,5,200,1,0.009811
10,5,10,200,1,0.011756
10,10,1,200,1,0.007782
10,10,5,200,1,0.010672
10,10,10,200,1,0.006410
5,1,1,400,1,0.078610
5,1,5,400,1,0.002559
5,5,1,400,1,0.005941
5,5,5,400,1,0.011328
10,1,1,400,1,0.003043
10,1,5,400,1,0.718748
10,1,10,400,1,0.091040
10,5,1,400,1,0.001904
10,5,5,400,1,0.087622
10,5,10,400,1,0.009336
10,10,1,400,1,0.002096
10,10,5,400,1,0.001979
10,10,10,400,1,0.084538
