B,P,C,X,N,Time,
5,1,1,0,1,12.390997,10.588361
5,1,5,0,1,10.826478,10.656829
5,5,1,0,1,3.538753,3.858833
5,5,5,0,1,5.726715,3.526616
10,1,1,0,1,12.653574,10.958587
10,1,5,0,1,12.463677,10.485068
10,1,10,0,1,12.009543,10.405938
10,5,1,0,1,4.908283,4.537212
10,5,5,0,1,5.89974,4.447503
10,5,10,0,1,4.236249,3.832651
10,10,1,0,1,4.102163,3.546177
10,10,5,0,1,4.462859,3.516964
10,10,10,0,1,4.187114,3.520532
5,1,1,200,1,12.910621,11.677125
5,1,5,200,1,10.637243,10.999687
5,5,1,200,1,10.271818,10.438663
5,5,5,200,1,6.573108,4.336726
10,1,1,200,1,12.59378,10.655988
10,1,5,200,1,11.464556,10.684893
10,1,10,200,1,12.278388,10.651389
10,5,1,200,1,10.268328,10.264224
10,5,5,200,1,5.450939,3.732341
10,5,10,200,1,6.076456,3.727364
10,10,1,200,1,10.353716,10.267372
10,10,5,200,1,4.579218,3.724061
10,10,10,200,1,7.596905,3.720423
5,1,1,400,1,22.812375,20.298445
5,1,5,400,1,11.188246,10.851131
5,5,1,400,1,20.650046,20.263514
5,5,5,400,1,8.202872,6.347225
10,1,1,400,1,24.319016,20.260216
10,1,5,400,1,14.389902,11.179488
10,1,10,400,1,11.802646,10.919594
10,5,1,400,1,22.106583,20.267918
10,5,5,400,1,7.301989,4.507464
10,5,10,400,1,8.06406,3.929905
10,10,1,400,1,20.538679,20.260083
10,10,5,400,1,6.14669,4.462424
10,10,10,400,1,4.509235,3.975279
