B,P,C,X,N,Time
5,1,1,0,1,12.390997
5,1,5,0,1,10.826478
5,5,1,0,1,3.538753
5,5,5,0,1,5.726715
10,1,1,0,1,12.653574
10,1,5,0,1,12.463677
10,1,10,0,1,12.009543
10,5,1,0,1,4.908283
10,5,5,0,1,5.899740
10,5,10,0,1,4.236249
10,10,1,0,1,4.102163
10,10,5,0,1,4.462859
10,10,10,0,1,4.187114
5,1,1,200,1,12.910621
5,1,5,200,1,10.637243
5,5,1,200,1,10.271818
5,5,5,200,1,6.573108
10,1,1,200,1,12.593780
10,1,5,200,1,11.464556
10,1,10,200,1,12.278388
10,5,1,200,1,10.268328
10,5,5,200,1,5.450939
10,5,10,200,1,6.076456
10,10,1,200,1,10.353716
10,10,5,200,1,4.579218
10,10,10,200,1,7.596905
5,1,1,400,1,22.812375
5,1,5,400,1,11.188246
5,5,1,400,1,20.650046
5,5,5,400,1,8.202872
10,1,1,400,1,24.319016
10,1,5,400,1,14.389902
10,1,10,400,1,11.802646
10,5,1,400,1,22.106583
10,5,5,400,1,7.301989
10,5,10,400,1,8.064060
10,10,1,400,1,20.538679
10,10,5,400,1,6.146690
10,10,10,400,1,4.509235
